StudyDesign,StudyID,DesignType,CascadeTarget,InterventionType,EvidenceBasedIntervention,ISFrameworks,Datacollectionmethods,Dataanalysisapproach,Dataanalysisdetails,Levelofdatacollection,Verified,Verifiedby,EHEInfo,ProjectTitle,YearofEHEAward,ProjectDirector,CFARARC,ImplementingPartner,CommunityPartner,TypeofCommunityPartner,Pillars,State,EHEGeographicPriorityArea,Zones,Latitude,Longitude,DemographicSetting,_merge
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,Michigan,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,Minnesota,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,Missouri,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,Nebraska,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,North Dakota,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,Ohio,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,South Dakota,,Midwestern United States,,,Other,Matched (3)
12,10,Qualitative: barriers and facilitators,Linkage to preventative care,,Oral PrEP,"CFIR (Consolidated Framework for Implementation Research),IRLM (Implementation Research Logic Model)",Semi-Structured Interviews,Qualitative ,Deductive Thematic Content Analysis,Provider-level,,,13,Provider Perspectives on Factors Affecting the PrEP Care Continuum Among Black Cisgender Women in the Midwest United States: Applying the Consolidated Framework for Implementation Research,2019,Jessica Ridgeway,Third Coast CFAR,Howard Brown Health,Lurie Children's Hospital,Clinic (unspecified),Prevent,Wisconsin,,Midwestern United States,,,Other,Matched (3)
16,13,Qualitative: barriers and facilitators,"Linkage to preventative care,Linkage to HIV care",,,,Focus Group Discussion,Qualitative ,Inductive thematic analysis,Other,,,16,Enhancing Retention in Care and Viral Suppression in Rural Southern Hotspots by Partnering with African American Faith Institutions,2019,Amy Nunn,Providence-Boston CFAR,,,Faith based organization (FBO),"Prevent,Treat,Respond,Diagnose",Arkansas,,Southern United States,,,Rural,Matched (3)
16,13,Qualitative: barriers and facilitators,"Linkage to preventative care,Linkage to HIV care",,,,Focus Group Discussion,Qualitative ,Inductive thematic analysis,Other,,,16,Enhancing Retention in Care and Viral Suppression in Rural Southern Hotspots by Partnering with African American Faith Institutions,2019,Amy Nunn,Providence-Boston CFAR,,,Faith based organization (FBO),"Prevent,Treat,Respond,Diagnose",Mississippi,,Southern United States,,,Rural,Matched (3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AIzaSyCVSSQStpsE-NC3nskIbt0OqCYvQg8KPU8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,AIzaSyCVSSQStpsE-NC3nskIbt0OqCYvQg8KPU8,,,,,,,,,,
